Zeit	Kanal A	Kanal B
(s)	(V)	(V)

-10.00332928	0.07080294	0.03936888
-10.00199528	-0.10803550	-0.04913480
-10.00066128	-0.10803550	0.03936888
-9.99932728	-0.10803550	-0.04913480
-9.99799328	-0.10803550	-0.04913480
-9.99665928	-0.10803550	-0.04913480
-9.99532528	-0.10803550	-0.04913480
-9.99399128	0.07080294	0.03936888
-9.99265728	0.07080294	-0.04913480
-9.99132328	0.07080294	-0.04913480
-9.98998928	0.07080294	0.03936888
-9.98865528	0.07080294	-0.04913480
-9.98732128	-0.10803550	-0.04913480
-9.98598728	0.07080294	0.03936888
-9.98465328	0.07080294	0.03936888
-9.98331928	-0.10803550	-0.04913480
-9.98198528	0.07080294	-0.04913480
-9.98065128	0.07080294	0.03936888
-9.97931728	0.07080294	-0.04913480
-9.97798328	-0.10803550	0.03936888
-9.97664928	0.07080294	-0.04913480
-9.97531528	-0.10803550	-0.13794370
-9.97398128	0.07080294	0.03936888
-9.97264728	0.07080294	0.03936888
-9.97131328	-0.10803550	-0.04913480
-9.96997928	-0.10803550	-0.04913480
-9.96864528	0.07080294	0.03936888
-9.96731128	-0.10803550	-0.04913480
-9.96597728	0.07080294	-0.04913480
-9.96464328	-0.10803550	-0.04913480
-9.96330928	-0.10803550	-0.04913480
-9.96197528	-0.10803550	0.03936888
-9.96064128	0.07080294	0.03936888
-9.95930728	0.07080294	-0.04913480
-9.95797328	0.07080294	0.03936888
-9.95663928	0.07080294	-0.04913480
-9.95530528	0.07080294	0.03936888
-9.95397128	0.07080294	-0.04913480
-9.95263728	-0.10803550	-0.04913480
-9.95130328	0.07080294	-0.04913480
-9.94996928	-0.10803550	0.03936888
-9.94863528	0.07080294	-0.04913480
-9.94730128	-0.10803550	-0.04913480
-9.94596728	0.07080294	-0.04913480
-9.94463328	-0.10803550	-0.04913480
-9.94329928	0.07080294	-0.04913480
-9.94196528	-0.10803550	-0.04913480
-9.94063128	-0.10803550	-0.04913480
-9.93929728	0.07080294	-0.04913480
-9.93796328	-0.10803550	-0.04913480
-9.93662928	0.07080294	-0.13794370
-9.93529528	-0.10803550	0.03936888
-9.93396128	-0.10803550	-0.04913480
-9.93262728	-0.10803550	-0.04913480
-9.93129328	0.07080294	0.03936888
-9.92995928	-0.10803550	-0.04913480
-9.92862528	-0.10803550	0.03936888
-9.92729128	0.07080294	-0.04913480
-9.92595728	-0.10803550	-0.04913480
-9.92462328	-0.10803550	-0.04913480
-9.92328928	-0.10803550	-0.04913480
-9.92195528	-0.10803550	-0.04913480
-9.92062128	-0.10803550	-0.04913480
-9.91928728	0.07080294	0.03936888
-9.91795328	0.07080294	-0.04913480
-9.91661928	-0.10803550	-0.04913480
-9.91528528	0.07080294	0.03936888
-9.91395128	-0.10803550	-0.04913480
-9.91261728	-0.10803550	0.03936888
-9.91128327	-0.10803550	0.03936888
-9.90994927	-0.10803550	-0.04913480
-9.90861527	0.07080294	-0.13794370
-9.90728127	-0.10803550	0.03936888
-9.90594727	-0.10803550	-0.04913480
-9.90461327	-0.10803550	-0.04913480
-9.90327927	0.07080294	0.03936888
-9.90194527	-0.10803550	-0.04913480
