# Zeit[s]; T1[mbar] 
0; 1000; 1000      
5; 900; 1000
10; 580; 1000 
15; 385; 1000
20; 278; 1000
25; 215; 1000
30; 169; 1000
35; 141; 1000
40; 115; 1000
45; 98.4; 1000
50; 84.5; 1000
55; 68.0; 1000
60; 60.9; 1000
65; 50.9; 1000
70; 43.9; 1000
75; 39.1; 1000
80; 34.3; 700
85; 30; 520
90; 26.6; 390
95; 24.2; 330
100; 21.6; 269
105; 19.3; 234
110; 17.3; 204
115; 15.8;181
120; 14.9; 169
125; 13.0; 149
130; 11.7; 135
135; 10.8; 122
140; 10.1; 114
145; 9.19; 107
150; 8.45; 98.9
155; 7.76; 92.4
160; 7.10; 86.0
165; 6.63; 79.9
170; 6.19; 75.6
175; 5.71; 71.6
180; 5.32; 68.6
185; 4.97; 65.4
190; 4.62; 62.4
195; 4.33; 59.4
200; 4.06; 56.6
205; 3.82; 54.2
210; 3.61; 51.6
215; 3.54; 49.4
220; 3.22; 47.3
225; 3.05; 46.2
230; 2.88; 44.8
235; 2.73; 43.4
240; 2.59; 42.0
245; 2.47; 40.9
250; 2.34; 39.6
255; 2.23; 38.5
260; 2.13; 37.2
265; 2.03; 36.1
270; 1.94; 35.3
275; 1.86; 34.1
280; 1.79; 33.3
285; 1.72; 32.2
290; 1.70; 31.1
295; 1.59; 30.4
300; 1.53; 30.0
